date,load,ctl,atl,tsb
2023-10-29,80.62,1.9,10.73,0.0
2023-10-30,0.0,1.85,9.3,-8.84
2023-10-31,39.32,2.73,13.3,-7.45
2023-11-01,0.0,2.67,11.53,-10.57
2023-11-02,0.0,2.61,9.99,-8.86
2023-11-03,35.46,3.38,13.38,-7.39
2023-11-04,35.44,4.13,16.32,-10.0
2023-11-05,0.0,4.04,14.15,-12.19
2023-11-06,0.0,3.94,12.26,-10.11
2023-11-07,36.08,4.7,15.43,-8.32
2023-11-08,0.0,4.59,13.38,-10.74
2023-11-09,0.0,4.48,11.6,-8.79
2023-11-10,0.0,4.37,10.05,-7.12
2023-11-11,0.0,4.27,8.72,-5.68
2023-11-12,47.21,5.28,13.84,-4.45
2023-11-13,0.0,5.16,12.0,-8.56
2023-11-14,0.0,5.04,10.4,-6.84
2023-11-15,0.0,4.92,9.02,-5.36
2023-11-16,52.8,6.04,14.84,-4.1
2023-11-17,0.0,5.9,12.87,-8.8
2023-11-18,0.0,5.76,11.15,-6.97
2023-11-19,0.0,5.63,9.67,-5.39
2023-11-20,0.0,5.49,8.38,-4.04
2023-11-21,0.0,5.37,7.27,-2.89
2023-11-22,47.89,6.37,12.67,-1.9
2023-11-23,0.0,6.22,10.99,-6.31
2023-11-24,0.0,6.07,9.52,-4.77
2023-11-25,0.0,5.93,8.26,-3.45
2023-11-26,0.0,5.79,7.16,-2.33
2023-11-27,0.0,5.65,6.2,-1.37
2023-11-28,0.0,5.52,5.38,-0.55
2023-11-29,0.0,5.39,4.66,0.14
2023-11-30,0.0,5.26,4.04,0.73
2023-12-01,0.0,5.14,3.5,1.22
2023-12-02,0.0,5.02,3.04,1.63
2023-12-03,0.0,4.9,2.63,1.98
2023-12-04,0.0,4.78,2.28,2.27
2023-12-05,0.0,4.67,1.98,2.5
2023-12-06,0.0,4.56,1.72,2.69
2023-12-07,33.52,5.24,5.95,2.85
2023-12-08,0.0,5.12,5.16,-0.71
2023-12-09,0.0,5.0,4.47,-0.04
2023-12-10,0.0,4.88,3.88,0.53
2023-12-11,0.0,4.77,3.36,1.01
2023-12-12,0.0,4.65,2.91,1.41
2023-12-13,0.0,4.54,2.52,1.74
2023-12-14,0.0,4.44,2.19,2.02
2023-12-15,0.0,4.33,1.9,2.25
2023-12-16,0.0,4.23,1.64,2.44
2023-12-17,0.0,4.13,1.43,2.59
2023-12-18,0.0,4.03,1.24,2.71
2023-12-19,0.0,3.94,1.07,2.8
2023-12-20,0.0,3.85,0.93,2.87
2023-12-21,0.0,3.76,0.81,2.92
2023-12-22,0.0,3.67,0.7,2.95
2023-12-23,0.0,3.58,0.61,2.97
2023-12-24,0.0,3.5,0.52,2.98
2023-12-25,0.0,3.42,0.45,2.97
2023-12-26,0.0,3.34,0.39,2.96
2023-12-27,0.0,3.26,0.34,2.94
2023-12-28,0.0,3.18,0.3,2.91
2023-12-29,0.0,3.11,0.26,2.88
2023-12-30,0.0,3.03,0.22,2.85
2023-12-31,0.0,2.96,0.19,2.81
2024-01-01,0.0,2.89,0.17,2.77
2024-01-02,0.0,2.82,0.15,2.72
2024-01-03,0.0,2.76,0.13,2.68
2024-01-04,0.0,2.69,0.11,2.63
2024-01-05,0.0,2.63,0.09,2.58
2024-01-06,0.0,2.57,0.08,2.53
2024-01-07,0.0,2.51,0.07,2.48
2024-01-08,0.0,2.45,0.06,2.44
2024-01-09,0.0,2.39,0.05,2.39
2024-01-10,0.0,2.33,0.05,2.34
2024-01-11,0.0,2.28,0.04,2.29
2024-01-12,0.0,2.22,0.03,2.24
