constraint,shadow_price
atl_cap_w1,0.0113
atl_cap_w10,0.0505
atl_cap_w11,0.0597
atl_cap_w12,0.0705
atl_cap_w13,0.0477
atl_cap_w2,0.0133
atl_cap_w3,0.0157
atl_cap_w4,0.0186
atl_cap_w5,0.022
atl_cap_w6,0.0259
atl_cap_w7,0.0306
atl_cap_w8,0.0362
atl_cap_w9,0.0428
def_atl_w1,-0.0199
def_atl_w10,-0.0893
def_atl_w11,-0.1055
def_atl_w12,-0.1247
def_atl_w13,-0.1473
def_atl_w14,-0.2707
def_atl_w15,-0.7358
def_atl_w16,-2.0
def_atl_w2,-0.0236
def_atl_w3,-0.0278
def_atl_w4,-0.0329
def_atl_w5,-0.0388
def_atl_w6,-0.0459
def_atl_w7,-0.0542
def_atl_w8,-0.064
def_atl_w9,-0.0756
def_ctl_w1,0.0821
def_ctl_w10,0.3679
def_ctl_w11,0.4346
def_ctl_w12,0.5134
def_ctl_w13,0.6065
def_ctl_w14,0.7165
def_ctl_w15,0.8465
def_ctl_w16,1.0
def_ctl_w2,0.097
def_ctl_w3,0.1146
def_ctl_w4,0.1353
def_ctl_w5,0.1599
def_ctl_w6,0.1889
def_ctl_w7,0.2231
def_ctl_w8,0.2636
def_ctl_w9,0.3114
def_load_w14,-0.0087
def_load_w15,-0.0479
def_load_w16,-0.1587
min_bike_w14,-0.5961
min_bike_w15,-3.27
min_bike_w16,-10.8375
min_run_w14,-0.7122
min_run_w15,-3.9068
min_run_w16,-12.9479
min_swim_w14,-0.3797
min_swim_w15,-2.0826
min_swim_w16,-6.9023
