week,load,hours,ctl,atl,tsb
1,845.53,10.8,84.65,110.0,-13.36
2,770.0,8.6,88.54,110.0,-25.35
3,770.0,8.57,91.84,110.0,-21.46
4,770.0,10.62,94.63,110.0,-18.16
5,770.0,10.8,96.99,110.0,-15.37
6,770.0,10.8,98.98,110.0,-13.01
7,770.0,10.66,100.68,110.0,-11.02
8,770.0,9.88,102.11,110.0,-9.32
9,770.0,11.0,103.32,110.0,-7.89
10,770.0,9.47,104.34,110.0,-6.68
11,770.0,9.9,105.21,110.0,-5.66
12,770.0,9.1,105.95,110.0,-4.79
13,770.0,9.84,106.57,110.0,-4.05
14,302.5,4.5,96.84,67.78,-3.43
15,302.5,4.5,88.61,52.25,29.06
16,302.5,4.5,81.64,46.54,36.36
